@relation finishedData-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.NumericToNominal-R1-2-weka.filters.unsupervised.attribute.NumericToBinary-R14-weka.filters.unsupervised.attribute.NumericToNominal-R12-weka.filters.unsupervised.attribute.NumericToNominal-R15-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute Year {2010,2011,2012,2013,2014,2015,2016,2017,2018}
@attribute Month {3,6,9,12}
@attribute City {Wellington,Auckland,Otago}
@attribute 'Region Average.Rent' numeric
@attribute Number.of.Bonds {1837,2002,2036,2062,2075,2095,2159,2215,2254,2300,2337,2381,2382,2412,2414,2417,2465,2562,2569,2680,2751,2827,2839,2858,2876,2921,3030,3126,3204,3301,3432,3489,3985,4074,4087,4102,4190,4283,4324,4340,4429,4514,4672,4770,4803,4882,5005,5016,5019,5107,5121,5309,5359,5455,5673,5902,6151,6456,6552,6627,6719,6846,6868,6893,7280,11341,12176,12244,12456,13092,13132,13252,13898,14105,14181,14211,14316,14358,14658,14724,14837,14875,14881,14892,14999,15249,15307,15449,15491,15538,15543,15547,15697,16329,16508,16608,18322,18489}
@attribute Number.of.Students..Bachelors.only. {'15,800','26,580','16,420','26,630','15,645','16,240','26,835','15,400','16,165','15,335','26,905','16,060','15,145','26,800','16,150','15,260','26,640','15,700','15,380','25,935','15,830','15,510','25,800','15,715','15,434','16,035','16,305'}
@attribute Student..Allowance.average {$170.68,$173.41,$175.38,$173.29,$175.88,$173.82,$178.94,$183.06,$230.12}
@attribute Student.Accomodation..Benefit.Average {$35.03,35.47,35.91,35.18,35.71,38.06,39.35,60}
@attribute Property_Type {House,'Room or Boarding House','Flat or Apartment',Hostel}
@attribute Number.of.Bedrooms {1,2,3,4,5}
@attribute Property.Average.Rent numeric
@attribute Bonds {5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,56,57,58,59,60,61,62,63,64,66,67,68,69,71,73,75,76,77,78,80,83,84,85,86,87,88,89,90,91,94,95,96,99,100,101,103,106,109,110,111,113,115,116,121,122,123,124,127,129,135,136,137,138,141,142,143,144,146,148,149,152,153,154,157,158,160,161,166,167,168,169,170,171,172,181,184,190,192,195,196,197,203,205,208,209,217,218,225,230,233,234,237,252,255,258,263,271,276,295,301,308,310,314,316,325,326,331,332,334,336,338,342,358,374,376,379,381,390,399,401,402,405,412,436,438,441,445,453,454,461,462,469,483,490,491,498,501,520,524,525,534,536,543,545,562,563,568,578,580,588,608,630,644,648,654,655,678,680,694,704,759,769,777,790,877,917}
@attribute 'Student/Bond Ratio' numeric
@attribute 'Above National Average (City)_binarized' {0,1}
@attribute Class {0,1}

@data
2013,9,Otago,354,2680,'16,060',$173.29,35.18,'Flat or Apartment',1,313,7,0.002612,0,0
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,'Flat or Apartment',1,315,197,0.0413,0,1
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,House,1,349,8,0.000539,1,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,'Flat or Apartment',1,353,630,0.042461,1,1
2013,9,Otago,354,2680,'16,060',$173.29,35.18,'Flat or Apartment',3,370,11,0.004104,0,0
2013,9,Otago,354,2680,'16,060',$173.29,35.18,House,3,408,10,0.003731,0,0
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,'Flat or Apartment',3,413,33,0.006918,0,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,House,2,427,7,0.000472,1,0
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,House,5,439,14,0.002935,0,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,'Flat or Apartment',2,445,381,0.025679,1,0
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,'Flat or Apartment',2,448,138,0.028931,0,0
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,'Flat or Apartment',4,476,8,0.001677,0,0
2013,9,Otago,354,2680,'16,060',$173.29,35.18,House,4,490,11,0.004104,0,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,House,3,490,14,0.000944,1,0
2013,9,Wellington,370,4770,'15,335',$173.29,35.18,'Flat or Apartment',5,497,10,0.002096,0,0
2013,9,Otago,354,2680,'16,060',$173.29,35.18,'Flat or Apartment',4,505,8,0.002985,0,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,House,4,522,13,0.000876,1,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,'Flat or Apartment',4,588,20,0.001348,1,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,'Flat or Apartment',5,615,10,0.000674,1,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,House,5,622,8,0.000539,1,0
2013,9,Otago,354,2680,'16,060',$173.29,35.18,House,5,648,17,0.006343,0,0
2013,9,Otago,354,2680,'16,060',$173.29,35.18,'Flat or Apartment',5,652,16,0.00597,0,0
2013,9,Auckland,449,14837,'26,905',$173.29,35.18,'Flat or Apartment',3,710,30,0.002022,1,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,'Room or Boarding House',1,149,49,0.003201,1,1
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,House,3,191,8,0.001239,1,1
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,'Room or Boarding House',1,194,49,0.00759,1,1
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,House,1,232,40,0.006196,1,1
2013,12,Otago,335,3204,'16,060',$173.29,35.18,'Flat or Apartment',1,240,15,0.004682,0,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,House,1,250,7,0.002185,0,1
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,House,2,284,16,0.002478,1,1
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,'Flat or Apartment',1,294,169,0.026177,1,1
2013,12,Otago,335,3204,'16,060',$173.29,35.18,House,2,303,7,0.002185,0,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,'Flat or Apartment',2,327,5,0.001561,0,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,'Room or Boarding House',1,335,109,0.03402,0,1
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,House,1,340,96,0.006272,1,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,'Flat or Apartment',1,346,563,0.036781,1,1
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,'Flat or Apartment',3,347,47,0.00728,1,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,House,2,381,7,0.000457,1,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,'Flat or Apartment',3,389,10,0.003121,0,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,House,3,393,6,0.001873,0,0
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,House,5,412,16,0.002478,1,0
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,House,4,420,16,0.002478,1,0
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,'Flat or Apartment',4,434,9,0.001394,1,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,House,3,442,12,0.000784,1,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,'Flat or Apartment',2,442,401,0.026197,1,0
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,'Flat or Apartment',2,447,146,0.022615,1,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,House,4,459,16,0.004994,0,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,'Flat or Apartment',4,467,32,0.009988,0,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,House,4,468,18,0.001176,1,0
2013,12,Wellington,413,6456,'15,335',$173.29,35.18,'Flat or Apartment',5,533,11,0.001704,1,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,'Flat or Apartment',5,596,18,0.001176,1,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,'Flat or Apartment',4,600,7,0.000457,1,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,'Flat or Apartment',5,628,47,0.014669,0,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,'Flat or Apartment',3,661,28,0.001829,1,0
2013,12,Auckland,456,15307,'26,905',$173.29,35.18,House,5,673,17,0.001111,1,0
2013,12,Otago,335,3204,'16,060',$173.29,35.18,House,5,701,41,0.012797,0,0
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,House,1,129,5,0.000979,1,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,'Room or Boarding House',1,159,154,0.010918,1,1
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,'Room or Boarding House',1,218,154,0.030155,1,1
2014,3,Otago,327,2002,'16,150',$175.88,35.71,'Room or Boarding House',1,244,166,0.082917,0,1
2014,3,Otago,327,2002,'16,150',$175.88,35.71,'Flat or Apartment',1,276,14,0.006993,0,1
2014,3,Otago,327,2002,'16,150',$175.88,35.71,House,1,285,23,0.011489,0,1
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,House,2,294,21,0.004112,1,1
2014,3,Otago,327,2002,'16,150',$175.88,35.71,'Flat or Apartment',2,307,19,0.009491,0,1
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,'Flat or Apartment',1,313,263,0.051498,1,1
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,House,1,334,6,0.000425,1,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,'Flat or Apartment',1,354,759,0.053811,1,1
2014,3,Otago,327,2002,'16,150',$175.88,35.71,House,2,388,9,0.004496,0,0
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,House,3,389,43,0.00842,1,1
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,House,2,392,6,0.000425,1,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,'Flat or Apartment',2,439,536,0.038001,1,0
2014,3,Otago,327,2002,'16,150',$175.88,35.71,'Flat or Apartment',3,444,13,0.006494,0,0
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,'Flat or Apartment',2,445,258,0.050519,1,0
2014,3,Otago,327,2002,'16,150',$175.88,35.71,House,4,455,15,0.007493,0,0
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,House,4,456,36,0.007049,1,0
2014,3,Otago,327,2002,'16,150',$175.88,35.71,'Flat or Apartment',4,465,14,0.006993,0,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,House,3,509,18,0.001276,1,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,House,5,518,6,0.000425,1,0
2014,3,Otago,327,2002,'16,150',$175.88,35.71,House,3,525,9,0.004496,0,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,House,4,532,22,0.00156,1,0
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,'Flat or Apartment',5,562,45,0.008811,1,0
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,'Flat or Apartment',3,571,122,0.023889,1,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,'Flat or Apartment',4,627,32,0.002269,1,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,'Flat or Apartment',5,638,17,0.001205,1,0
2014,3,Auckland,463,14105,'26,800',$175.88,35.71,'Flat or Apartment',3,643,45,0.00319,1,0
2014,3,Otago,327,2002,'16,150',$175.88,35.71,House,5,645,37,0.018482,0,0
2014,3,Otago,327,2002,'16,150',$175.88,35.71,'Flat or Apartment',5,648,31,0.015485,0,0
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,House,5,667,18,0.003525,1,0
2014,3,Wellington,389,5107,'15,145',$175.88,35.71,'Flat or Apartment',4,674,48,0.009399,1,0
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,House,1,114,5,0.000996,0,1
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,'Room or Boarding House',1,158,68,0.004374,1,1
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,'Room or Boarding House',1,194,68,0.013549,0,1
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,House,4,211,6,0.001195,0,0
2014,6,Otago,352,2381,'16,150',$175.88,35.71,House,1,249,15,0.0063,0,1
2014,6,Otago,352,2381,'16,150',$175.88,35.71,'Room or Boarding House',1,263,29,0.01218,0,1
2014,6,Otago,352,2381,'16,150',$175.88,35.71,'Flat or Apartment',1,274,63,0.026459,0,1
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,House,2,308,16,0.003188,0,0
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,House,5,325,5,0.000996,0,0
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,'Flat or Apartment',1,332,184,0.036661,0,1
2014,6,Otago,352,2381,'16,150',$175.88,35.71,'Flat or Apartment',2,334,52,0.02184,0,1
2014,6,Otago,352,2381,'16,150',$175.88,35.71,House,2,337,9,0.00378,0,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,House,1,341,10,0.000643,1,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,'Flat or Apartment',1,361,580,0.037306,1,1
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,House,3,365,17,0.003387,0,0
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,'Flat or Apartment',3,401,57,0.011357,0,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,House,2,420,6,0.000386,1,0
2014,6,Otago,352,2381,'16,150',$175.88,35.71,'Flat or Apartment',3,428,8,0.00336,0,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,House,4,434,14,0.0009,1,0
2014,6,Otago,352,2381,'16,150',$175.88,35.71,House,3,436,9,0.00378,0,0
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,'Flat or Apartment',2,448,157,0.031281,0,0
2014,6,Otago,352,2381,'16,150',$175.88,35.71,'Flat or Apartment',4,459,7,0.00294,0,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,'Flat or Apartment',2,460,314,0.020197,1,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,House,3,485,17,0.001093,1,0
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,'Flat or Apartment',4,496,39,0.00777,0,0
2014,6,Otago,352,2381,'16,150',$175.88,35.71,House,4,515,10,0.0042,0,0
2014,6,Wellington,374,5019,'15,145',$175.88,35.71,'Flat or Apartment',5,577,18,0.003586,0,0
2014,6,Otago,352,2381,'16,150',$175.88,35.71,'Flat or Apartment',5,582,10,0.0042,0,0
2014,6,Otago,352,2381,'16,150',$175.88,35.71,House,5,589,12,0.00504,0,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,House,5,600,10,0.000643,1,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,'Flat or Apartment',4,619,23,0.001479,1,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,'Flat or Apartment',5,636,6,0.000386,1,0
2014,6,Auckland,463,15547,'26,800',$175.88,35.71,'Flat or Apartment',3,640,25,0.001608,1,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,'Room or Boarding House',1,154,56,0.004496,1,1
2014,9,Otago,354,2215,'16,150',$175.88,35.71,'Flat or Apartment',1,204,6,0.002709,0,1
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,House,1,209,52,0.012723,0,1
2014,9,Otago,354,2215,'16,150',$175.88,35.71,'Room or Boarding House',1,237,111,0.050113,0,1
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,House,4,243,9,0.002202,0,1
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,'Room or Boarding House',1,248,56,0.013702,0,1
2014,9,Otago,354,2215,'16,150',$175.88,35.71,House,1,265,23,0.010384,0,1
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,House,2,296,11,0.002691,0,1
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,'Flat or Apartment',5,297,11,0.002691,0,1
2014,9,Otago,354,2215,'16,150',$175.88,35.71,House,2,303,7,0.00316,0,0
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,'Flat or Apartment',1,311,209,0.051138,0,1
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,House,3,337,12,0.002936,0,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,House,1,339,5,0.000401,1,0
2014,9,Otago,354,2215,'16,150',$175.88,35.71,'Flat or Apartment',2,339,36,0.016253,0,1
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,'Flat or Apartment',1,362,498,0.039981,1,1
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,'Flat or Apartment',3,405,26,0.006362,0,0
2014,9,Otago,354,2215,'16,150',$175.88,35.71,'Flat or Apartment',3,439,7,0.00316,0,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,House,2,452,7,0.000562,1,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,'Flat or Apartment',2,462,338,0.027136,1,0
2014,9,Otago,354,2215,'16,150',$175.88,35.71,House,3,464,8,0.003612,0,0
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,'Flat or Apartment',2,465,142,0.034744,0,0
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,House,5,474,13,0.003181,0,0
2014,9,Wellington,385,4087,'15,145',$175.88,35.71,'Flat or Apartment',4,484,24,0.005872,0,0
2014,9,Otago,354,2215,'16,150',$175.88,35.71,House,4,514,10,0.004515,0,0
2014,9,Otago,354,2215,'16,150',$175.88,35.71,'Flat or Apartment',4,520,10,0.004515,0,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,House,4,592,29,0.002328,1,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,House,3,605,5,0.000401,1,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,'Flat or Apartment',4,612,22,0.001766,1,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,'Flat or Apartment',5,627,10,0.000803,1,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,'Flat or Apartment',3,639,22,0.001766,1,0
2014,9,Auckland,475,12456,'26,800',$175.88,35.71,House,5,694,5,0.000401,1,0
2014,9,Otago,354,2215,'16,150',$175.88,35.71,House,5,694,34,0.01535,0,0
2014,9,Otago,354,2215,'16,150',$175.88,35.71,'Flat or Apartment',5,711,22,0.009932,0,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,'Room or Boarding House',1,170,50,0.003334,1,1
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,'Room or Boarding House',1,179,50,0.00728,1,1
2014,12,Otago,346,3301,'16,150',$175.88,35.71,'Flat or Apartment',1,214,13,0.003938,0,1
2014,12,Otago,346,3301,'16,150',$175.88,35.71,'Room or Boarding House',1,240,121,0.036656,0,1
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,House,1,251,46,0.006698,1,1
2014,12,Otago,346,3301,'16,150',$175.88,35.71,House,1,280,36,0.010906,0,1
2014,12,Otago,346,3301,'16,150',$175.88,35.71,'Flat or Apartment',2,295,10,0.003029,0,1
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,House,2,301,12,0.001747,1,0
2014,12,Otago,346,3301,'16,150',$175.88,35.71,House,2,314,9,0.002726,0,0
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,'Flat or Apartment',1,320,149,0.021695,1,1
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,House,4,339,10,0.001456,1,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,'Flat or Apartment',1,366,501,0.033402,1,1
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,House,1,384,5,0.000333,1,0
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,House,3,391,13,0.001893,1,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,House,2,417,64,0.004267,1,0
2014,12,Otago,346,3301,'16,150',$175.88,35.71,House,3,434,11,0.003332,0,0
2014,12,Otago,346,3301,'16,150',$175.88,35.71,'Flat or Apartment',3,440,14,0.004241,0,0
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,House,5,451,16,0.00233,1,0
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,'Flat or Apartment',2,452,100,0.01456,1,0
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,'Flat or Apartment',5,459,16,0.00233,1,0
2014,12,Otago,346,3301,'16,150',$175.88,35.71,'Flat or Apartment',4,467,16,0.004847,0,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,'Flat or Apartment',2,472,316,0.021068,1,0
2014,12,Otago,346,3301,'16,150',$175.88,35.71,House,4,486,5,0.001515,0,0
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,'Flat or Apartment',4,491,14,0.002038,1,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,House,3,493,13,0.000867,1,0
2014,12,Wellington,421,6868,'15,145',$175.88,35.71,'Flat or Apartment',3,552,43,0.006261,1,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,'Flat or Apartment',4,566,25,0.001667,1,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,House,4,580,15,0.001,1,0
2014,12,Otago,346,3301,'16,150',$175.88,35.71,'Flat or Apartment',5,633,31,0.009391,0,0
2014,12,Otago,346,3301,'16,150',$175.88,35.71,House,5,666,30,0.009088,0,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,'Flat or Apartment',3,680,31,0.002067,1,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,House,5,704,5,0.000333,1,0
2014,12,Auckland,485,14999,'26,800',$175.88,35.71,'Flat or Apartment',5,756,5,0.000333,1,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,House,1,122,8,0.001191,1,1
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,'Room or Boarding House',1,172,158,0.009676,1,1
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,'Room or Boarding House',1,206,158,0.023515,1,1
2015,3,Otago,341,2562,'15,700',$173.82,35.71,'Room or Boarding House',1,241,149,0.058158,0,1
2015,3,Otago,341,2562,'15,700',$173.82,35.71,'Flat or Apartment',1,279,19,0.007416,0,1
2015,3,Otago,341,2562,'15,700',$173.82,35.71,House,1,289,35,0.013661,0,1
2015,3,Otago,341,2562,'15,700',$173.82,35.71,'Flat or Apartment',2,309,11,0.004294,0,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,'Flat or Apartment',1,328,326,0.048519,1,1
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,House,1,339,5,0.000306,1,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,'Flat or Apartment',1,374,325,0.019903,1,1
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,House,3,391,45,0.006697,1,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,House,2,433,5,0.000306,1,0
2015,3,Otago,341,2562,'15,700',$173.82,35.71,House,2,443,9,0.003513,0,0
2015,3,Otago,341,2562,'15,700',$173.82,35.71,'Flat or Apartment',3,446,11,0.004294,0,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,'Flat or Apartment',2,450,252,0.037506,1,0
2015,3,Otago,341,2562,'15,700',$173.82,35.71,House,4,463,17,0.006635,0,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,House,4,470,39,0.005804,1,0
2015,3,Otago,341,2562,'15,700',$173.82,35.71,'Flat or Apartment',4,474,18,0.007026,0,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,House,3,477,19,0.001164,1,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,'Flat or Apartment',2,478,454,0.027803,1,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,House,4,487,13,0.000796,1,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,House,2,500,26,0.00387,1,0
2015,3,Otago,341,2562,'15,700',$173.82,35.71,House,3,504,5,0.001952,0,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,'Flat or Apartment',3,595,124,0.018455,1,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,'Flat or Apartment',4,598,5,0.000306,1,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,'Flat or Apartment',3,624,48,0.00294,1,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,House,5,648,27,0.004018,1,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,'Flat or Apartment',5,675,23,0.001409,1,0
2015,3,Otago,341,2562,'15,700',$173.82,35.71,'Flat or Apartment',5,678,36,0.014052,0,0
2015,3,Auckland,488,16329,'26,640',$173.82,35.71,House,5,682,5,0.000306,1,0
2015,3,Otago,341,2562,'15,700',$173.82,35.71,House,5,712,32,0.01249,0,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,'Flat or Apartment',4,757,73,0.010865,1,0
2015,3,Wellington,412,6719,'15,260',$173.82,35.71,'Flat or Apartment',5,902,66,0.009823,1,0
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,House,2,151,11,0.002198,0,1
2015,6,Otago,354,2062,'15,700',$173.82,35.71,'Room or Boarding House',1,183,30,0.014549,0,1
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,'Room or Boarding House',1,187,94,0.00605,1,1
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,House,1,191,31,0.006194,0,1
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,'Room or Boarding House',1,207,94,0.018781,0,1
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,House,4,224,7,0.001399,0,0
2015,6,Otago,354,2062,'15,700',$173.82,35.71,House,1,254,16,0.007759,0,1
2015,6,Otago,354,2062,'15,700',$173.82,35.71,'Flat or Apartment',1,278,5,0.002425,0,0
2015,6,Otago,354,2062,'15,700',$173.82,35.71,House,2,332,8,0.00388,0,0
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,'Flat or Apartment',1,346,184,0.036763,0,1
2015,6,Otago,354,2062,'15,700',$173.82,35.71,'Flat or Apartment',2,368,83,0.040252,0,1
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,House,1,370,7,0.000451,1,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,'Flat or Apartment',1,390,568,0.036556,1,0
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,House,3,409,19,0.003796,0,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,House,2,415,40,0.002574,1,0
2015,6,Otago,354,2062,'15,700',$173.82,35.71,House,3,442,10,0.00485,0,0
2015,6,Otago,354,2062,'15,700',$173.82,35.71,'Flat or Apartment',3,448,11,0.005335,0,0
2015,6,Otago,354,2062,'15,700',$173.82,35.71,House,4,451,10,0.00485,0,0
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,'Flat or Apartment',2,456,141,0.028172,0,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,House,4,491,24,0.001545,1,0
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,'Flat or Apartment',4,494,42,0.008392,0,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,'Flat or Apartment',2,502,390,0.0251,1,0
2015,6,Otago,354,2062,'15,700',$173.82,35.71,'Flat or Apartment',4,514,10,0.00485,0,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,House,3,520,16,0.00103,1,0
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,'Flat or Apartment',5,546,19,0.003796,0,0
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,'Flat or Apartment',3,586,58,0.011588,0,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,'Flat or Apartment',4,620,26,0.001673,1,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,House,5,624,10,0.000644,1,0
2015,6,Auckland,495,15538,'26,640',$173.82,35.71,'Flat or Apartment',5,634,10,0.000644,1,0
2015,6,Wellington,393,5005,'15,260',$173.82,35.71,House,5,656,13,0.002597,0,0
